,.imei,.ip_handle,.software_version,.build_number,.hardware_version,.model,.serial_number,.internal_ssl_key,.usr,.cdt,.phone,.ifconfig,.bool,.token_verifier
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
